Time,Agebin,Clone ID,Frequency
210,2088,491834,1
210,2088,528736,1
210,2088,399842,1
210,2088,138857,1
210,2088,533573,1
210,2088,602249,2
210,2088,858832,1
210,2088,643313,1
210,2088,868362,1
210,2088,855662,2
210,2088,539051,2
210,2088,823433,1
210,2088,667604,1
210,2088,322169,1
210,2088,655544,1
210,2088,587345,1
210,2088,597966,2
210,2088,308966,1
210,2088,622148,2
210,2088,922544,1
210,2088,636032,1
210,2088,638959,2
210,2088,550220,1
210,2088,639374,1
210,2088,670538,1
210,2088,542288,1
210,2088,675511,1
210,2087,999551,1
210,2087,930734,2
210,2087,919837,1
210,2087,918181,2
210,2087,909036,1
210,2087,905405,1
210,2087,887244,1
210,2087,980176,1
210,2087,862955,1
210,2087,906268,2
210,2087,887980,1
210,2087,853436,3
210,2087,839251,1
210,2087,829190,1
210,2087,827575,1
210,2087,806367,1
210,2087,760615,1
210,2087,759636,1
210,2087,734327,1
210,2087,733943,1
210,2087,728688,1
210,2087,702251,1
210,2087,964918,2
210,2087,687423,1
210,2087,733476,1
210,2087,643433,1
210,2087,596461,1
210,2087,595534,1
210,2087,254937,1
210,2087,227581,1
210,2087,220111,1
210,2087,278747,1
210,2087,820457,1
210,2087,804963,1
210,2087,47408,3
210,2087,511089,1
210,2087,882922,1
210,2087,400703,1
210,2087,984661,2
210,2087,92994,1
210,2087,642834,2
210,2087,158075,1
210,2087,157083,1
210,2087,779680,1
210,2087,340514,1
210,2087,257545,2
210,2087,552439,1
210,2087,8439,1
210,2087,574780,2
210,2087,719137,2
210,2087,108013,1
210,2087,241686,9
210,2087,219969,2
210,2087,279559,1
210,2087,202424,1
210,2087,28685,2
210,2087,240503,2
210,2087,821587,2
210,2087,114832,2
210,2087,307999,1
210,2087,649458,1
210,2087,572496,1
210,2087,125662,1
210,2087,72147,1
210,2087,825192,1
210,2087,202638,1
210,2087,472209,2
210,2087,567907,1
210,2087,176509,1
210,2087,123178,1
210,2087,111479,2
210,2087,14621,2
210,2087,130445,1
210,2087,974037,1
210,2087,681810,2
210,2087,366850,1
210,2087,397471,1
210,2087,879009,2
210,2087,478832,3
210,2087,41331,1
210,2087,374706,1
210,2087,535223,1
210,2087,341421,1
210,2087,393618,2
210,2087,618888,1
210,2087,415561,1
210,2087,431690,1
210,2087,443490,1
210,2087,454031,2
210,2087,767540,2
210,2087,470614,1
210,2087,923717,1
210,2087,162225,1
210,2087,475915,1
210,2087,478340,1
210,2087,406974,2
210,2087,171643,1
210,2087,481269,2
210,2087,527296,2
210,2087,541302,1
210,2087,275466,1
210,2087,579885,1
210,2087,588272,1
210,2086,932401,1
210,2086,921607,1
210,2086,883248,1
210,2086,876898,1
210,2086,877775,1
210,2086,834595,3
210,2086,803643,2
210,2086,799617,1
210,2086,791151,1
210,2086,841122,1
210,2086,782575,2
210,2086,733911,1
210,2086,727011,1
210,2086,703563,1
210,2086,766457,1
210,2086,684923,2
210,2086,681684,1
210,2086,656665,1
210,2086,651250,1
210,2086,611915,1
210,2086,605648,2
210,2086,570650,1
210,2086,568950,1
210,2086,566975,1
210,2086,552813,1
210,2086,515007,2
